Name	Profile	Action	Override	Direction	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	Group	Status	
@{C27EB4BA.DropboxOEM_22.4.18.0_x64__xbfy0k16fey96?ms-resource://C27EB4BA.DropboxOEM/Resources/OEMAppName}	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--AbhayaPrabha\Administrator	None	S-1-15-2-957046722-3704396400-4010937963-411832198-1131521071-1207666172-2334532315	@{C27EB4BA.DropboxOEM_22.4.18.0_x64__xbfy0k16fey96?ms-resource://C27EB4BA.DropboxOEM/Resources/OEMAppName}	OK	
@{HoloShell_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloShell/resources/DisplayName}	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--ABHAYAPRABHA\aayus	None	S-1-15-2-2916343524-3430662180-516348105-118121672-2355345734-3902897351-118975284	@{HoloShell_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://HoloShell/resources/DisplayName}	OK	
@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--ABHAYAPRABHA\aayus	None	Microsoft.Win32WebViewHost_cw5n1h2txyewy	@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	OK	
@{Microsoft.Windows.Photos_21.21030.25003.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Windows.Photos/Resources/AppStoreName}	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--AbhayaPrabha\Administrator	None	Microsoft.Windows.Photos_8wekyb3d8bbwe	@{Microsoft.Windows.Photos_21.21030.25003.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Windows.Photos/Resources/AppStoreName}	OK	
@{microsoft.windowscommunicationsapps_16005.14326.20544.0_x64__8wekyb3d8bbwe?ms-resource://microsoft.windowscommunicationsapps/hxoutlookintl/AppManifest_OutlookDesktop_DisplayName}	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--AbhayaPrabha\Administrator	None	microsoft.windowscommunicationsapps_8wekyb3d8bbwe	@{microsoft.windowscommunicationsapps_16005.14326.20544.0_x64__8wekyb3d8bbwe?ms-resource://microsoft.windowscommunicationsapps/hxoutlookintl/AppManifest_OutlookDesktop_DisplayName}	OK	
@{Microsoft.XboxGamingOverlay_2.622.3232.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxGamingOverlay/resources/GameBar}	All	Allow	No	Inbound	Any	Any	Any	Any	Any	Any	Any	Any	Any	--AbhayaPrabha\Administrator	None	Microsoft.XboxGamingOverlay_8wekyb3d8bbwe	@{Microsoft.XboxGamingOverlay_2.622.3232.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxGamingOverlay/resources/GameBar}	OK	
Airhost service for Zoom Video Meetings	All	Allow	No	Inbound	C:\Users\aayus\AppData\Roaming\Zoom\bin\airhost.exe	Any	Any	UDP	5353, 7200-17210, 8889	Any	Any	Any	Any	Any	None	Any	Zoom Video Conference	OK	
Airhost service for Zoom Video Meetings	All	Allow	No	Inbound	C:\Users\aayus\AppData\Roaming\Zoom\bin\airhost.exe	Any	Any	TCP	5000, 7000, 7100, 50000, 7200-17210, 8888	Any	Any	Any	Any	Any	None	Any	Zoom Video Conference	OK	
Core Networking - Destination Unreachable (ICMPv6-In)	All	Allow	No	Inbound	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)	All	Allow	No	Inbound	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Dynamic Host Configuration Protocol (DHCP-In)	All	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Any	UDP	68	67	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)	All	Allow	No	Inbound	C:\WINDOWS\system32\svchost.exe	Any	Any	UDP	546	547	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Internet Group Management Protocol (IGMP-In)	All	Allow	No	Inbound	System	Any	Any	IGMP	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - IPv6 (IPv6-In)	All	Allow	No	Inbound	System	Any	Any	IPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Multicast Listener Done (ICMPv6-In)	All	Allow	No	Inbound	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Multicast Listener Query (ICMPv6-In)	All	Allow	No	Inbound	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Multicast Listener Report (ICMPv6-In)	All	Allow	No	Inbound	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Multicast Listener Report v2 (ICMPv6-In)	All	Allow	No	Inbound	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)	All	Allow	No	Inbound	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)	All	Allow	No	Inbound	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
Core Networking - Packet Too Big (ICMPv6-In)	All	Allow	No	Inbound	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	Core Networking	OK	
